timestamp,experiment_id,frame_id,motion_percent,num_rois,rois_json
2025-12-02T18:03:46.359Z,exp_1764698626359,185,61.4242,12,"[{""bbox"":[76,372,141,424]},{""bbox"":[68,372,119,393]},{""bbox"":[300,319,403,480]},{""bbox"":[302,276,371,309]},{""bbox"":[177,158,219,226]},{""bbox"":[121,139,167,189]},{""bbox"":[236,68,285,112]},{""bbox"":[104,62,135,117]},{""bbox"":[276,47,331,88]},{""bbox"":[292,0,358,47]},{""bbox"":[0,0,640,480]},{""bbox"":[256,250,457,451]}]"
2025-12-02T18:03:46.803Z,exp_1764698626803,190,61.4544,15,"[{""bbox"":[278,436,309,480]},{""bbox"":[205,365,261,417]},{""bbox"":[29,330,131,415]},{""bbox"":[310,305,410,480]},{""bbox"":[316,264,377,309]},{""bbox"":[46,255,147,334]},{""bbox"":[164,178,250,398]},{""bbox"":[230,97,279,147]},{""bbox"":[105,84,141,123]},{""bbox"":[264,66,323,108]},{""bbox"":[296,8,351,42]},{""bbox"":[352,4,437,56]},{""bbox"":[0,0,640,480]},{""bbox"":[0,0,230,150]},{""bbox"":[255,250,457,452]}]"
2025-12-02T18:03:47.258Z,exp_1764698627258,195,61.3011,9,"[{""bbox"":[232,438,312,480]},{""bbox"":[62,266,145,330]},{""bbox"":[0,138,155,417]},{""bbox"":[194,38,250,79]},{""bbox"":[255,5,314,61]},{""bbox"":[0,0,640,480]},{""bbox"":[341,0,409,65]},{""bbox"":[0,0,259,140]},{""bbox"":[255,250,458,453]}]"
2025-12-02T18:03:47.707Z,exp_1764698627707,200,60.6429,10,"[{""bbox"":[55,365,115,399]},{""bbox"":[189,242,243,287]},{""bbox"":[293,52,361,121]},{""bbox"":[212,51,259,97]},{""bbox"":[449,0,503,25]},{""bbox"":[375,0,403,48]},{""bbox"":[310,0,360,45]},{""bbox"":[0,0,640,480]},{""bbox"":[479,54,542,117]},{""bbox"":[254,250,453,449]}]"
2025-12-02T18:03:48.158Z,exp_1764698628158,205,61.4596,10,"[{""bbox"":[313,320,397,480]},{""bbox"":[323,260,382,309]},{""bbox"":[174,187,221,227]},{""bbox"":[311,1,371,62]},{""bbox"":[506,0,545,50]},{""bbox"":[268,0,330,40]},{""bbox"":[233,0,281,45]},{""bbox"":[0,0,640,480]},{""bbox"":[481,56,540,115]},{""bbox"":[255,252,452,449]}]"
2025-12-02T18:03:48.606Z,exp_1764698628606,210,60.9935,13,"[{""bbox"":[310,322,418,480]},{""bbox"":[54,258,105,322]},{""bbox"":[0,143,103,480]},{""bbox"":[408,116,438,166]},{""bbox"":[110,90,149,137]},{""bbox"":[259,53,309,97]},{""bbox"":[338,32,402,63]},{""bbox"":[269,10,314,48]},{""bbox"":[234,5,269,55]},{""bbox"":[82,0,640,480]},{""bbox"":[0,0,251,145]},{""bbox"":[480,56,540,116]},{""bbox"":[255,250,459,454]}]"
2025-12-02T18:03:49.063Z,exp_1764698629063,215,60.7233,11,"[{""bbox"":[0,400,45,480]},{""bbox"":[103,302,152,339]},{""bbox"":[0,112,162,433]},{""bbox"":[217,41,276,106]},{""bbox"":[273,1,354,69]},{""bbox"":[498,0,552,51]},{""bbox"":[30,0,640,480]},{""bbox"":[385,0,412,56]},{""bbox"":[0,0,253,147]},{""bbox"":[480,56,540,116]},{""bbox"":[254,250,458,454]}]"
2025-12-02T18:03:49.521Z,exp_1764698629521,220,61.443,15,"[{""bbox"":[268,433,309,480]},{""bbox"":[222,357,255,407]},{""bbox"":[313,312,411,480]},{""bbox"":[305,269,372,310]},{""bbox"":[173,223,202,294]},{""bbox"":[0,141,112,480]},{""bbox"":[262,76,289,114]},{""bbox"":[205,66,263,109]},{""bbox"":[84,41,133,113]},{""bbox"":[324,6,380,49]},{""bbox"":[270,5,325,55]},{""bbox"":[113,0,640,480]},{""bbox"":[0,0,268,170]},{""bbox"":[481,56,541,116]},{""bbox"":[255,251,457,453]}]"
2025-12-02T18:03:49.964Z,exp_1764698629964,225,60.9245,6,"[{""bbox"":[272,428,310,480]},{""bbox"":[299,321,403,480]},{""bbox"":[354,271,387,311]},{""bbox"":[308,0,368,72]},{""bbox"":[0,0,640,480]},{""bbox"":[255,252,456,453]}]"
2025-12-02T18:03:50.411Z,exp_1764698630411,230,61.3109,11,"[{""bbox"":[251,439,304,480]},{""bbox"":[93,289,142,328]},{""bbox"":[0,119,133,480]},{""bbox"":[122,71,163,155]},{""bbox"":[245,56,310,133]},{""bbox"":[92,46,161,89]},{""bbox"":[331,14,395,58]},{""bbox"":[113,0,640,480]},{""bbox"":[224,0,329,106]},{""bbox"":[0,0,245,142]},{""bbox"":[254,252,457,455]}]"
